simFrame,playerId_0,laneId_0,roadS_0,roadT_0,hdgRel_0,playerId_1,laneId_1,roadS_1,roadT_1,hdgRel_1,playerId_2,laneId_2,roadS_2,roadT_2,hdgRel_2,playerId_3,laneId_3,roadS_3,roadT_3,hdgRel_3,playerId_4,laneId_4,roadS_4,roadT_4,hdgRel_4,playerId_5,laneId_5,roadS_5,roadT_5,hdgRel_5,playerId_6,laneId_6,roadS_6,roadT_6,hdgRel_6,playerId_7,laneId_7,roadS_7,roadT_7,hdgRel_7,playerId_8,laneId_8,roadS_8,roadT_8,hdgRel_8,playerId_9,laneId_9,roadS_9,roadT_9,hdgRel_9
12,-99.99,-99.99,-99.99,-99.99,-99.99,1.0,                     -2,+1.4762393188476562e+02,-5.3240680694580078e+00,-5.2661141380667686e-03,2.0,                     -2,+2.0000599670410156e+02,-5.1718645095825195e+00,-3.5159303806722164e-03,3.0,                     -1,+1.5000900268554688e+02,-1.7438166141510010e+00,-7.9686590470373631e-04,4.0,                     -2,+1.6000599670410156e+02,-5.2285094261169434e+00,-2.0512142218649387e-03,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
13,-99.99,-99.99,-99.99,-99.99,-99.99,1.0,                     -2,+1.4762393188476562e+02,-5.3240680694580078e+00,-5.2661141380667686e-03,2.0,                     -2,+2.0000715637207031e+02,-5.1718626022338867e+00,-3.5159878898411989e-03,3.0,                     -1,+1.5001072692871094e+02,-1.7438158988952637e+00,-7.9693255247548223e-04,4.0,                     -2,+1.6000715637207031e+02,-5.2285084724426270e+00,-2.0512950140982866e-03,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
14,-99.99,-99.99,-99.99,-99.99,-99.99,1.0,                     -2,+1.4762393188476562e+02,-5.3240680694580078e+00,-5.2661141380667686e-03,2.0,                     -2,+2.0000840759277344e+02,-5.1718602180480957e+00,-3.5160502884536982e-03,3.0,                     -1,+1.5001260375976562e+02,-1.7438151836395264e+00,-7.9700467176735401e-04,4.0,                     -2,+1.6000840759277344e+02,-5.2285070419311523e+00,-2.0513825584203005e-03,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
15,-99.99,-99.99,-99.99,-99.99,-99.99,1.0,                     -2,+1.4762393188476562e+02,-5.3240680694580078e+00,-5.2661141380667686e-03,2.0,                     -2,+2.0000975036621094e+02,-5.1718578338623047e+00,-3.5161175765097141e-03,3.0,                     -1,+1.5001461791992188e+02,-1.7438143491744995e+00,-7.9708237899467349e-04,4.0,                     -2,+1.6000975036621094e+02,-5.2285056114196777e+00,-2.0514773204922676e-03,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
16,-99.99,-99.99,-99.99,-99.99,-99.99,1.0,                     -2,+1.4762393188476562e+02,-5.3240680694580078e+00,-5.2661141380667686e-03,2.0,                     -2,+2.0001119995117188e+02,-5.1718554496765137e+00,-3.5161895211786032e-03,3.0,                     -1,+1.5001679992675781e+02,-1.7438135147094727e+00,-7.9716549953445792e-04,4.0,                     -2,+1.6001119995117188e+02,-5.2285041809082031e+00,-2.0515781361609697e-03,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
17,-99.99,-99.99,-99.99,-99.99,-99.99,1.0,                     -2,+1.4762393188476562e+02,-5.3240680694580078e+00,-5.2661141380667686e-03,2.0,                     -2,+2.0001275634765625e+02,-5.1718525886535645e+00,-3.5162661224603653e-03,3.0,                     -1,+1.5001911926269531e+02,-1.7438125610351562e+00,-7.9725420800969005e-04,4.0,                     -2,+1.6001275634765625e+02,-5.2285027503967285e+00,-2.0516864024102688e-03,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
18,-99.99,-99.99,-99.99,-99.99,-99.99,1.0,                     -2,+1.4762393188476562e+02,-5.3240680694580078e+00,-5.2661141380667686e-03,2.0,                     -2,+2.0001440429687500e+02,-5.1718497276306152e+00,-3.5163478460162878e-03,3.0,                     -1,+1.5002160644531250e+02,-1.7438116073608398e+00,-7.9734832979738712e-04,4.0,                     -2,+1.6001440429687500e+02,-5.2285008430480957e+00,-2.0518009550869465e-03,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
19,-99.99,-99.99,-99.99,-99.99,-99.99,1.0,                     -2,+1.4762393188476562e+02,-5.3240680694580078e+00,-5.2661141380667686e-03,2.0,                     -2,+2.0001614379882812e+02,-5.1718463897705078e+00,-3.5164342261850834e-03,3.0,                     -1,+1.5002423095703125e+02,-1.7438105344772339e+00,-7.9744803952053189e-04,4.0,                     -2,+1.6001614379882812e+02,-5.2284989356994629e+00,-2.0519222598522902e-03,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
20,-99.99,-99.99,-99.99,-99.99,-99.99,1.0,                     -2,+1.4762393188476562e+02,-5.3240680694580078e+00,-5.2661141380667686e-03,2.0,                     -2,+2.0001800537109375e+02,-5.1718435287475586e+00,-3.5165254957973957e-03,3.0,                     -1,+1.5002699279785156e+02,-1.7438094615936279e+00,-7.9755322076380253e-04,4.0,                     -2,+1.6001800537109375e+02,-5.2284970283508301e+00,-2.0520505495369434e-03,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
21,-99.99,-99.99,-99.99,-99.99,-99.99,1.0,                     -2,+1.4762393188476562e+02,-5.3240680694580078e+00,-5.2661141380667686e-03,2.0,                     -2,+2.0001994323730469e+02,-5.1718397140502930e+00,-3.5166214220225811e-03,3.0,                     -1,+1.5002992248535156e+02,-1.7438082695007324e+00,-7.9766393173485994e-04,4.0,                     -2,+1.6001994323730469e+02,-5.2284951210021973e+00,-2.0521853584796190e-03,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
22,-99.99,-99.99,-99.99,-99.99,-99.99,1.0,                     -2,+1.4762393188476562e+02,-5.3240680694580078e+00,-5.2661141380667686e-03,2.0,                     -2,+2.0002200317382812e+02,-5.1718363761901855e+00,-3.5167220048606396e-03,3.0,                     -1,+1.5003300476074219e+02,-1.7438070774078369e+00,-7.9778017243370414e-04,4.0,                     -2,+1.6002200317382812e+02,-5.2284932136535645e+00,-2.0523266866803169e-03,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
23,-99.99,-99.99,-99.99,-99.99,-99.99,1.0,                     -2,+1.4762393188476562e+02,-5.3240680694580078e+00,-5.2661141380667686e-03,2.0,                     -2,+2.0002415466308594e+02,-5.1718325614929199e+00,-3.5168274771422148e-03,3.0,                     -1,+1.5003622436523438e+02,-1.7438057661056519e+00,-7.9790188465267420e-04,4.0,                     -2,+1.6002415466308594e+02,-5.2284908294677734e+00,-2.0524749998003244e-03,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
24,-99.99,-99.99,-99.99,-99.99,-99.99,1.0,                     -2,+1.4762393188476562e+02,-5.3240680694580078e+00,-5.2661141380667686e-03,2.0,                     -2,+2.0002639770507812e+02,-5.1718287467956543e+00,-3.5169378388673067e-03,3.0,                     -1,+1.5003959655761719e+02,-1.7438043355941772e+00,-7.9802866093814373e-04,4.0,                     -2,+1.6002639770507812e+02,-5.2284884452819824e+00,-2.0526298321783543e-03,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
25,-99.99,-99.99,-99.99,-99.99,-99.99,1.0,                     -2,+1.4762393188476562e+02,-5.3240680694580078e+00,-5.2661141380667686e-03,2.0,                     -2,+2.0002874755859375e+02,-5.1718244552612305e+00,-3.5170526243746281e-03,3.0,                     -1,+1.5004312133789062e+02,-1.7438030242919922e+00,-7.9816096695140004e-04,4.0,                     -2,+1.6002874755859375e+02,-5.2284860610961914e+00,-2.0527911838144064e-03,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
26,-99.99,-99.99,-99.99,-99.99,-99.99,1.0,                     -2,+1.4762393188476562e+02,-5.3240680694580078e+00,-5.2661108784377575e-03,2.0,                     -2,+2.0003120422363281e+02,-5.1718201637268066e+00,-3.5171722993254662e-03,3.0,                     -1,+1.5004679870605469e+02,-1.7438014745712280e+00,-7.9829874448478222e-04,4.0,                     -2,+1.6003120422363281e+02,-5.2284836769104004e+00,-2.0529595203697681e-03,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
27,-99.99,-99.99,-99.99,-99.99,-99.99,1.0,                     -2,+1.4762393188476562e+02,-5.3240680694580078e+00,-5.2660978399217129e-03,2.0,                     -2,+2.0003375244140625e+02,-5.1718158721923828e+00,-3.5172963980585337e-03,3.0,                     -1,+1.5005062866210938e+02,-1.7438000440597534e+00,-7.9844158608466387e-04,4.0,                     -2,+1.6003375244140625e+02,-5.2284808158874512e+00,-2.0531339105218649e-03,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
28,-99.99,-99.99,-99.99,-99.99,-99.99,1.0,                     -2,+1.4762393188476562e+02,-5.3240680694580078e+00,-5.2660726942121983e-03,2.0,                     -2,+2.0003640747070312e+02,-5.1718111038208008e+00,-3.5174253862351179e-03,3.0,                     -1,+1.5005459594726562e+02,-1.7437983751296997e+00,-7.9858989920467138e-04,4.0,                     -2,+1.6003640747070312e+02,-5.2284784317016602e+00,-2.0533152855932713e-03,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
