simFrame,playerId_0,lightMask_0,steering_0,playerId_1,lightMask_1,steering_1,playerId_2,lightMask_2,steering_2,playerId_3,lightMask_3,steering_3,playerId_4,lightMask_4,steering_4,playerId_5,lightMask_5,steering_5,playerId_6,lightMask_6,steering_6,playerId_7,lightMask_7,steering_7,playerId_8,lightMask_8,steering_8,playerId_9,lightMask_9,steering_9
12,-99.99,-99.99,-99.99,1.0,0.0,+0.0000000000000000e+00,2.0,0.0,+1.1806414840975776e-04,3.0,0.0,+6.9907575380057096e-05,4.0,0.0,+1.1758098844438791e-04,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
13,-99.99,-99.99,-99.99,1.0,0.0,+0.0000000000000000e+00,2.0,0.0,+1.1798954074038193e-04,3.0,0.0,+6.9840258220210671e-05,4.0,0.0,+1.1750463454518467e-04,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
14,-99.99,-99.99,-99.99,1.0,0.0,+0.0000000000000000e+00,2.0,0.0,+1.1790842108894140e-04,3.0,0.0,+6.9767142122145742e-05,4.0,0.0,+1.1742167407646775e-04,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
15,-99.99,-99.99,-99.99,1.0,0.0,+0.0000000000000000e+00,2.0,0.0,+1.1782081855926663e-04,3.0,0.0,+6.9688241637777537e-05,4.0,0.0,+1.1733212159015238e-04,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
16,-99.99,-99.99,-99.99,1.0,0.0,+0.0000000000000000e+00,2.0,0.0,+1.1772674770327285e-04,3.0,0.0,+6.9603585870936513e-05,4.0,0.0,+1.1723600619006902e-04,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
17,-99.99,-99.99,-99.99,1.0,0.0,+0.0000000000000000e+00,2.0,0.0,+1.1762622307287529e-04,3.0,0.0,+6.9513211201410741e-05,4.0,0.0,+1.1713333515217528e-04,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
18,-99.99,-99.99,-99.99,1.0,0.0,+0.0000000000000000e+00,2.0,0.0,+1.1751927377190441e-04,3.0,0.0,+6.9417146733030677e-05,4.0,0.0,+1.1702415213221684e-04,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
19,-99.99,-99.99,-99.99,1.0,0.0,+0.0000000000000000e+00,2.0,0.0,+1.1740591435227543e-04,3.0,0.0,+6.9315414293669164e-05,4.0,0.0,+1.1690846440615132e-04,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
20,-99.99,-99.99,-99.99,1.0,0.0,+0.0000000000000000e+00,2.0,0.0,+1.1728618119377643e-04,3.0,0.0,+6.9208064815029502e-05,4.0,0.0,+1.1678630835376680e-04,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
21,-99.99,-99.99,-99.99,1.0,0.0,+0.0000000000000000e+00,2.0,0.0,+1.1716008884832263e-04,3.0,0.0,+6.9095120124984533e-05,4.0,0.0,+1.1665770580293611e-04,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
