simFrame,simTime,id_0,lateralDist_0,type_0,color_0,id_1,lateralDist_1,type_1,color_1,id_2,lateralDist_2,type_2,color_2,id_3,lateralDist_3,type_3,color_3,id_4,lateralDist_4,type_4,color_4,id_5,lateralDist_5,type_5,color_5,id_6,lateralDist_6,type_6,color_6,id_7,lateralDist_7,type_7,color_7,id_8,lateralDist_8,type_8,color_8,id_9,lateralDist_9,type_9,color_9,id_10,lateralDist_10,type_10,color_10,id_11,lateralDist_11,type_11,color_11,id_12,lateralDist_12,type_12,color_12,id_13,lateralDist_13,type_13,color_13
24,+2.2999999485909939e-01,0,+1.7746027708053589e+00,                      2,                      1,-99.99,-99.99,-99.99,-99.99,2.0,-1.6003972291946411e+00,                      1,                      1,-99.99,-99.99,-99.99,-99.99,4.0,+5.2590680122375488e+00,                      1,                      3,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
25,+2.3999999463558197e-01,0,+1.7746027708053589e+00,                      2,                      1,-99.99,-99.99,-99.99,-99.99,2.0,-1.6003972291946411e+00,                      1,                      1,-99.99,-99.99,-99.99,-99.99,4.0,+5.2590680122375488e+00,                      1,                      3,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
26,+2.4999999441206455e-01,0,+1.7746027708053589e+00,                      2,                      1,-99.99,-99.99,-99.99,-99.99,2.0,-1.6003972291946411e+00,                      1,                      1,-99.99,-99.99,-99.99,-99.99,4.0,+5.2590680122375488e+00,                      1,                      3,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
27,+2.5999999418854713e-01,0,+1.7746026515960693e+00,                      2,                      1,-99.99,-99.99,-99.99,-99.99,2.0,-1.6003973484039307e+00,                      1,                      1,-99.99,-99.99,-99.99,-99.99,4.0,+5.2590680122375488e+00,                      1,                      3,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
28,+2.6999999396502972e-01,0,+1.7746026515960693e+00,                      2,                      1,-99.99,-99.99,-99.99,-99.99,2.0,-1.6003973484039307e+00,                      1,                      1,-99.99,-99.99,-99.99,-99.99,4.0,+5.2590680122375488e+00,                      1,                      3,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
29,+2.7999999374151230e-01,0,+1.7746024131774902e+00,                      2,                      1,-99.99,-99.99,-99.99,-99.99,2.0,-1.6003975868225098e+00,                      1,                      1,-99.99,-99.99,-99.99,-99.99,4.0,+5.2590680122375488e+00,                      1,                      3,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
30,+2.8999999351799488e-01,0,+1.7746022939682007e+00,                      2,                      1,-99.99,-99.99,-99.99,-99.99,2.0,-1.6003977060317993e+00,                      1,                      1,-99.99,-99.99,-99.99,-99.99,4.0,+5.2590675354003906e+00,                      1,                      3,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
31,+2.9999999329447746e-01,0,+1.7746020555496216e+00,                      2,                      1,-99.99,-99.99,-99.99,-99.99,2.0,-1.6003979444503784e+00,                      1,                      1,-99.99,-99.99,-99.99,-99.99,4.0,+5.2590675354003906e+00,                      1,                      3,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
32,+3.0999999307096004e-01,0,+1.7746016979217529e+00,                      2,                      1,-99.99,-99.99,-99.99,-99.99,2.0,-1.6003983020782471e+00,                      1,                      1,-99.99,-99.99,-99.99,-99.99,4.0,+5.2590670585632324e+00,                      1,                      3,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
33,+3.1999999284744263e-01,0,+1.7746013402938843e+00,                      2,                      1,-99.99,-99.99,-99.99,-99.99,2.0,-1.6003986597061157e+00,                      1,                      1,-99.99,-99.99,-99.99,-99.99,4.0,+5.2590665817260742e+00,                      1,                      3,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
