simFrame,simTime,id_0,lateralDist_0,type_0,color_0,id_1,lateralDist_1,type_1,color_1,id_2,lateralDist_2,type_2,color_2,id_3,lateralDist_3,type_3,color_3,id_4,lateralDist_4,type_4,color_4,id_5,lateralDist_5,type_5,color_5,id_6,lateralDist_6,type_6,color_6,id_7,lateralDist_7,type_7,color_7,id_8,lateralDist_8,type_8,color_8,id_9,lateralDist_9,type_9,color_9,id_10,lateralDist_10,type_10,color_10,id_11,lateralDist_11,type_11,color_11,id_12,lateralDist_12,type_12,color_12,id_13,lateralDist_13,type_13,color_13
3754,+3.7529999161139131e+01,0,+1.9725931882858276e+00,                      2,                      1,1.0,+4.1189483642578125e+01,                      2,                      1,2.0,-1.4024068117141724e+00,                      1,                      1,3.0,-44.85139846801758,2.0,1.0,4.0,5.04111385345459,1.0,3.0,-99.99,-99.99,-99.99,-99.99,6.0,-46.493267059326165,1.0,1.0,7.0,-47.17127990722656,1.0,1.0,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
3755,+3.7539999160915613e+01,0,+1.9726570844650269e+00,                      2,                      1,1.0,+4.0851623535156250e+01,                      2,                      1,2.0,-1.4023429155349731e+00,                      1,                      1,3.0,-44.8000602722168,2.0,1.0,4.0,5.04105806350708,1.0,3.0,-99.99,-99.99,-99.99,-99.99,6.0,-46.44332885742188,1.0,1.0,7.0,-47.11313247680664,1.0,1.0,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
3756,+3.7549999160692096e+01,0,+1.9727201461791992e+00,                      2,                      1,1.0,+4.0513401031494141e+01,                      2,                      1,2.0,-1.4022798538208008e+00,                      1,                      1,3.0,-44.74863052368164,2.0,1.0,4.0,5.041001319885254,1.0,3.0,-99.99,-99.99,-99.99,-99.99,6.0,-46.39329528808594,1.0,1.0,7.0,-47.0549201965332,1.0,1.0,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
3757,+3.7559999160468578e+01,0,+1.9727829694747925e+00,                      2,                      1,1.0,+4.0174812316894531e+01,                      2,                      1,2.0,-1.4022170305252075e+00,                      1,                      1,3.0,-44.69710159301758,2.0,1.0,4.0,5.040944576263428,1.0,3.0,-99.99,-99.99,-99.99,-99.99,6.0,-46.343170166015625,1.0,1.0,7.0,-46.99664688110352,1.0,1.0,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
3758,+3.7569999160245061e+01,0,+1.9728461503982544e+00,                      2,                      1,1.0,+3.9835853576660156e+01,                      2,                      1,2.0,-1.4021538496017456e+00,                      1,                      1,3.0,-44.645484924316406,2.0,1.0,4.0,5.04088830947876,1.0,3.0,-99.99,-99.99,-99.99,-99.99,6.0,-46.2929573059082,1.0,1.0,7.0,-46.93831253051758,1.0,1.0,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
3759,+3.7579999160021544e+01,0,+1.9729093313217163e+00,                      2,                      1,1.0,+3.9496517181396484e+01,                      2,                      1,2.0,-1.4020906686782837e+00,                      1,                      1,3.0,-44.5937728881836,2.0,1.0,4.0,5.040831565856934,1.0,3.0,-99.99,-99.99,-99.99,-99.99,6.0,-46.242652893066406,1.0,1.0,7.0,-46.879913330078125,1.0,1.0,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
3760,+3.7589999159798026e+01,0,+1.9729717969894409e+00,                      2,                      1,1.0,+3.9156803131103516e+01,                      2,                      1,2.0,-1.4020282030105591e+00,                      1,                      1,3.0,-44.541969299316406,2.0,1.0,4.0,5.040774822235107,1.0,3.0,-99.99,-99.99,-99.99,-99.99,6.0,-46.19225692749024,1.0,1.0,7.0,-46.82145690917969,1.0,1.0,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
3761,+3.7599999159574509e+01,0,+1.9730340242385864e+00,                      2,                      1,1.0,+3.8816707611083984e+01,                      2,                      1,2.0,-1.4019659757614136e+00,                      1,                      1,3.0,-44.4900779724121,2.0,1.0,4.0,5.040717601776123,1.0,3.0,-99.99,-99.99,-99.99,-99.99,6.0,-46.14176940917969,1.0,1.0,7.0,-46.76293563842773,1.0,1.0,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
3762,+3.7609999159350991e+01,0,+1.9730964899063110e+00,                      2,                      1,1.0,+3.8476238250732422e+01,                      2,                      1,2.0,-1.4019035100936890e+00,                      1,                      1,3.0,-44.438091278076165,2.0,1.0,4.0,5.040660381317139,1.0,3.0,-99.99,-99.99,-99.99,-99.99,6.0,-46.0911979675293,1.0,1.0,7.0,-46.7043571472168,1.0,1.0,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
3763,+3.7619999159127474e+01,0,+1.9731585979461670e+00,                      2,                      1,1.0,+3.8135383605957031e+01,                      2,                      1,2.0,-1.4018414020538330e+00,                      1,                      1,3.0,-44.386016845703125,2.0,1.0,4.0,5.0406036376953125,1.0,3.0,-99.99,-99.99,-99.99,-99.99,6.0,-46.04053497314453,1.0,1.0,7.0,-46.64571762084961,1.0,1.0,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
