                simTime,               simFrame,               playerId,                     id,                 prevId,                 nextId,            lateralDist,                 yawRel,                curvHor,             curvHorDot,                startDx,              previewDx,                  width,                 height,               curvVert,            curvVertDot,                   type,                  color,
+1.0999999754130840e-01,                     12,                      1,                      0,                     -1,                     -1,+1.9405881166458130e+00,-2.8035880532115698e-03,+0.0000000000000000e+00,-0.0000000000000000e+00,+0.0000000000000000e+00,+1.0000000000000000e+02,+1.2999999523162842e-01,+1.9999999552965164e-02,-0.0000000000000000e+00,-0.0000000000000000e+00,                      1,                      3,
+1.1999999731779099e-01,                     13,                      1,                      0,                     -1,                     -1,+1.9405881166458130e+00,-2.8035880532115698e-03,+0.0000000000000000e+00,-0.0000000000000000e+00,+0.0000000000000000e+00,+1.0000000000000000e+02,+1.2999999523162842e-01,+1.9999999552965164e-02,-0.0000000000000000e+00,-0.0000000000000000e+00,                      1,                      3,
+1.2999999709427357e-01,                     14,                      1,                      0,                     -1,                     -1,+1.9405881166458130e+00,-2.8035880532115698e-03,+0.0000000000000000e+00,-0.0000000000000000e+00,+0.0000000000000000e+00,+1.0000000000000000e+02,+1.2999999523162842e-01,+1.9999999552965164e-02,-0.0000000000000000e+00,-0.0000000000000000e+00,                      1,                      3,
+1.3999999687075615e-01,                     15,                      1,                      0,                     -1,                     -1,+1.9405881166458130e+00,-2.8035880532115698e-03,+0.0000000000000000e+00,-0.0000000000000000e+00,+0.0000000000000000e+00,+1.0000000000000000e+02,+1.2999999523162842e-01,+1.9999999552965164e-02,-0.0000000000000000e+00,-0.0000000000000000e+00,                      1,                      3,
+1.4999999664723873e-01,                     16,                      1,                      0,                     -1,                     -1,+1.9405881166458130e+00,-2.8035880532115698e-03,+0.0000000000000000e+00,-0.0000000000000000e+00,+0.0000000000000000e+00,+1.0000000000000000e+02,+1.2999999523162842e-01,+1.9999999552965164e-02,-0.0000000000000000e+00,-0.0000000000000000e+00,                      1,                      3,
+1.5999999642372131e-01,                     17,                      1,                      0,                     -1,                     -1,+1.9405881166458130e+00,-2.8035880532115698e-03,+0.0000000000000000e+00,-0.0000000000000000e+00,+0.0000000000000000e+00,+1.0000000000000000e+02,+1.2999999523162842e-01,+1.9999999552965164e-02,-0.0000000000000000e+00,-0.0000000000000000e+00,                      1,                      3,
+1.6999999620020390e-01,                     18,                      1,                      0,                     -1,                     -1,+1.9405881166458130e+00,-2.8035880532115698e-03,+0.0000000000000000e+00,-0.0000000000000000e+00,+0.0000000000000000e+00,+1.0000000000000000e+02,+1.2999999523162842e-01,+1.9999999552965164e-02,-0.0000000000000000e+00,-0.0000000000000000e+00,                      1,                      3,
+1.7999999597668648e-01,                     19,                      1,                      0,                     -1,                     -1,+1.9405881166458130e+00,-2.8035880532115698e-03,+0.0000000000000000e+00,-0.0000000000000000e+00,+0.0000000000000000e+00,+1.0000000000000000e+02,+1.2999999523162842e-01,+1.9999999552965164e-02,-0.0000000000000000e+00,-0.0000000000000000e+00,                      1,                      3,
+1.8999999575316906e-01,                     20,                      1,                      0,                     -1,                     -1,+1.9405881166458130e+00,-2.8035880532115698e-03,+0.0000000000000000e+00,-0.0000000000000000e+00,+0.0000000000000000e+00,+1.0000000000000000e+02,+1.2999999523162842e-01,+1.9999999552965164e-02,-0.0000000000000000e+00,-0.0000000000000000e+00,                      1,                      3,
+1.9999999552965164e-01,                     21,                      1,                      0,                     -1,                     -1,+1.9405881166458130e+00,-2.8035880532115698e-03,+0.0000000000000000e+00,-0.0000000000000000e+00,+0.0000000000000000e+00,+1.0000000000000000e+02,+1.2999999523162842e-01,+1.9999999552965164e-02,-0.0000000000000000e+00,-0.0000000000000000e+00,                      1,                      3,
+2.0999999530613422e-01,                     22,                      1,                      0,                     -1,                     -1,+1.9405881166458130e+00,-2.8035880532115698e-03,+0.0000000000000000e+00,-0.0000000000000000e+00,+0.0000000000000000e+00,+1.0000000000000000e+02,+1.2999999523162842e-01,+1.9999999552965164e-02,-0.0000000000000000e+00,-0.0000000000000000e+00,                      1,                      3,
+2.1999999508261681e-01,                     23,                      1,                      0,                     -1,                     -1,+1.9405881166458130e+00,-2.8035880532115698e-03,+0.0000000000000000e+00,-0.0000000000000000e+00,+0.0000000000000000e+00,+1.0000000000000000e+02,+1.2999999523162842e-01,+1.9999999552965164e-02,-0.0000000000000000e+00,-0.0000000000000000e+00,                      1,                      3,
+2.2999999485909939e-01,                     24,                      1,                      0,                     -1,                     -1,+1.9405881166458130e+00,-2.8035880532115698e-03,+0.0000000000000000e+00,-0.0000000000000000e+00,+0.0000000000000000e+00,+1.0000000000000000e+02,+1.2999999523162842e-01,+1.9999999552965164e-02,-0.0000000000000000e+00,-0.0000000000000000e+00,                      1,                      3,
+2.3999999463558197e-01,                     25,                      1,                      0,                     -1,                     -1,+1.9405881166458130e+00,-2.8035880532115698e-03,+0.0000000000000000e+00,-0.0000000000000000e+00,+0.0000000000000000e+00,+1.0000000000000000e+02,+1.2999999523162842e-01,+1.9999999552965164e-02,-0.0000000000000000e+00,-0.0000000000000000e+00,                      1,                      3,
+2.4999999441206455e-01,                     26,                      1,                      0,                     -1,                     -1,+1.9405881166458130e+00,-2.8035880532115698e-03,+0.0000000000000000e+00,-0.0000000000000000e+00,+0.0000000000000000e+00,+1.0000000000000000e+02,+1.2999999523162842e-01,+1.9999999552965164e-02,-0.0000000000000000e+00,-0.0000000000000000e+00,                      1,                      3,
