                simTime,               simFrame,               playerId,              lightMask,               steering,    steeringWheelTorque,               playerId,              lightMask,               steering,    steeringWheelTorque,               playerId,              lightMask,               steering,    steeringWheelTorque,               playerId,              lightMask,               steering,    steeringWheelTorque,               playerId,              lightMask,               steering,    steeringWheelTorque,
+2.0999999530613422e-01,                     22,                      2,                  0x400,-5.3386343643069267e-04,+0.0000000000000000e+00,                      3,                  0x400,-3.6830622702836990e-03,+0.0000000000000000e+00,                      4,                  0x400,-2.5274802464991808e-04,+0.0000000000000000e+00,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,
+2.1999999508261681e-01,                     23,                      2,                  0x400,-5.3320924052968621e-04,+0.0000000000000000e+00,                      3,                  0x400,-3.6808073054999113e-03,+0.0000000000000000e+00,                      4,                  0x400,-2.5243969867005944e-04,+0.0000000000000000e+00,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,
+2.2999999485909939e-01,                     24,                      2,                  0x400,-5.3252553334459662e-04,+0.0000000000000000e+00,                      3,                  0x400,-3.6784475669264793e-03,+0.0000000000000000e+00,                      4,                  0x400,-2.5211746105924249e-04,+0.0000000000000000e+00,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,
+2.3999999463558197e-01,                     25,                      2,                  0x400,-5.3181243129074574e-04,+0.0000000000000000e+00,                      3,                  0x400,-3.6759837530553341e-03,+0.0000000000000000e+00,                      4,                  0x400,-2.5178142823278904e-04,+0.0000000000000000e+00,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,
+2.4999999441206455e-01,                     26,                      2,                  0x400,-5.3107016719877720e-04,+0.0000000000000000e+00,                      3,                  0x400,-3.6734158638864756e-03,+0.0000000000000000e+00,                      4,                  0x400,-2.5143168750219047e-04,+0.0000000000000000e+00,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,
+2.5999999418854713e-01,                     27,                      2,                  0x400,-5.3029879927635193e-04,+0.0000000000000000e+00,                      3,                  0x400,-3.6707441322505474e-03,+0.0000000000000000e+00,                      4,                  0x400,-2.5106826797127724e-04,+0.0000000000000000e+00,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,
+2.6999999396502972e-01,                     28,                      2,                  0x400,-5.2949861856177449e-04,+0.0000000000000000e+00,                      3,                  0x400,-3.6679687909781933e-03,+0.0000000000000000e+00,                      4,                  0x400,-2.5069125695154071e-04,+0.0000000000000000e+00,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,
+2.7999999374151230e-01,                     29,                      2,                  0x400,-5.2866968326270580e-04,+0.0000000000000000e+00,                      3,                  0x400,-3.6650903057307005e-03,+0.0000000000000000e+00,                      4,                  0x400,-2.5030079996213317e-04,+0.0000000000000000e+00,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,
+2.8999999351799488e-01,                     30,                      2,                  0x400,-5.2781228441745043e-04,+0.0000000000000000e+00,                      3,                  0x400,-3.6621086765080690e-03,+0.0000000000000000e+00,                      4,                  0x400,-2.4989692610688508e-04,+0.0000000000000000e+00,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,
+2.9999999329447746e-01,                     31,                      2,                  0x400,-5.2692653844133019e-04,+0.0000000000000000e+00,                      3,                  0x400,-3.6590246018022299e-03,+0.0000000000000000e+00,                      4,                  0x400,-2.4947975180111825e-04,+0.0000000000000000e+00,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,
