                simTime,               simFrame,               playerId,                     id,                 prevId,                 nextId,            lateralDist,                 yawRel,                curvHor,             curvHorDot,                startDx,              previewDx,                  width,                 height,               curvVert,            curvVertDot,                   type,                  color,
+1.0999999999999999e-01,                     12,                      1,                      0,                     -1,                     -1,+1.8099999427795410e+00,+0.0000000000000000e+00,+0.0000000000000000e+00,-0.0000000000000000e+00,+0.0000000000000000e+00,+1.0000000000000000e+02,+1.2999999523162842e-01,+1.9999999552965164e-02,-0.0000000000000000e+00,-0.0000000000000000e+00,                      1,                      3,
+1.1999999999999998e-01,                     13,                      1,                      0,                     -1,                     -1,+1.8099999427795410e+00,+0.0000000000000000e+00,+0.0000000000000000e+00,-0.0000000000000000e+00,+0.0000000000000000e+00,+1.0000000000000000e+02,+1.2999999523162842e-01,+1.9999999552965164e-02,-0.0000000000000000e+00,-0.0000000000000000e+00,                      1,                      3,
+1.2999999999999998e-01,                     14,                      1,                      0,                     -1,                     -1,+1.8099999427795410e+00,+0.0000000000000000e+00,+0.0000000000000000e+00,-0.0000000000000000e+00,+0.0000000000000000e+00,+1.0000000000000000e+02,+1.2999999523162842e-01,+1.9999999552965164e-02,-0.0000000000000000e+00,-0.0000000000000000e+00,                      1,                      3,
+1.3999999999999999e-01,                     15,                      1,                      0,                     -1,                     -1,+1.8099999427795410e+00,+0.0000000000000000e+00,+0.0000000000000000e+00,-0.0000000000000000e+00,+0.0000000000000000e+00,+1.0000000000000000e+02,+1.2999999523162842e-01,+1.9999999552965164e-02,-0.0000000000000000e+00,-0.0000000000000000e+00,                      1,                      3,
+1.4999999999999999e-01,                     16,                      1,                      0,                     -1,                     -1,+1.8099999427795410e+00,+0.0000000000000000e+00,+0.0000000000000000e+00,-0.0000000000000000e+00,+0.0000000000000000e+00,+1.0000000000000000e+02,+1.2999999523162842e-01,+1.9999999552965164e-02,-0.0000000000000000e+00,-0.0000000000000000e+00,                      1,                      3,
+1.6000000000000000e-01,                     17,                      1,                      0,                     -1,                     -1,+1.8099999427795410e+00,+0.0000000000000000e+00,+0.0000000000000000e+00,-0.0000000000000000e+00,+0.0000000000000000e+00,+1.0000000000000000e+02,+1.2999999523162842e-01,+1.9999999552965164e-02,-0.0000000000000000e+00,-0.0000000000000000e+00,                      1,                      3,
+1.7000000000000001e-01,                     18,                      1,                      0,                     -1,                     -1,+1.8099999427795410e+00,+0.0000000000000000e+00,+0.0000000000000000e+00,-0.0000000000000000e+00,+0.0000000000000000e+00,+1.0000000000000000e+02,+1.2999999523162842e-01,+1.9999999552965164e-02,-0.0000000000000000e+00,-0.0000000000000000e+00,                      1,                      3,
+1.8000000000000002e-01,                     19,                      1,                      0,                     -1,                     -1,+1.8099999427795410e+00,+0.0000000000000000e+00,+0.0000000000000000e+00,-0.0000000000000000e+00,+0.0000000000000000e+00,+1.0000000000000000e+02,+1.2999999523162842e-01,+1.9999999552965164e-02,-0.0000000000000000e+00,-0.0000000000000000e+00,                      1,                      3,
+1.9000000000000003e-01,                     20,                      1,                      0,                     -1,                     -1,+1.8099999427795410e+00,+0.0000000000000000e+00,+0.0000000000000000e+00,-0.0000000000000000e+00,+0.0000000000000000e+00,+1.0000000000000000e+02,+1.2999999523162842e-01,+1.9999999552965164e-02,-0.0000000000000000e+00,-0.0000000000000000e+00,                      1,                      3,
+2.0000000000000004e-01,                     21,                      1,                      0,                     -1,                     -1,+1.8099999427795410e+00,+0.0000000000000000e+00,+0.0000000000000000e+00,-0.0000000000000000e+00,+0.0000000000000000e+00,+1.0000000000000000e+02,+1.2999999523162842e-01,+1.9999999552965164e-02,-0.0000000000000000e+00,-0.0000000000000000e+00,                      1,                      3,
