"                simTime","               simFrame","               playerId","                 roadId","                 laneId","                  flags","                  roadS","                  roadT","             laneOffset","                 hdgRel","               pitchRel","                rollRel","               roadType","                  pathS","               playerId","                 roadId","                 laneId","                  flags","                  roadS","                  roadT","             laneOffset","                 hdgRel","               pitchRel","                rollRel","               roadType","                  pathS","               playerId","                 roadId","                 laneId","                  flags","                  roadS","                  roadT","             laneOffset","                 hdgRel","               pitchRel","                rollRel","               roadType","                  pathS","               playerId","                 roadId","                 laneId","                  flags","                  roadS","                  roadT","             laneOffset","                 hdgRel","               pitchRel","                rollRel","               roadType","                  pathS"
2.10E-01,22,2,1,-1,"                    0x1",5.00E+01,-1.88E+00,-3.49E-14,4.47E-11,1.66E-03,-1.56E-20,0,5.00E+01,1,1,-1,"                    0x1",2.62E+00,-1.88E+00,1.56E-11,4.47E-11,1.09E-03,-2.74E-15,0,2.62E+00,2,1,-1,"                    0x1",5.00E+01,-1.88E+00,-3.49E-14,4.47E-11,1.66E-03,-1.56E-20,0,5.00E+01,1,1,-1,"                    0x1",2.62E+00,-1.88E+00,1.56E-11,4.47E-11,1.09E-03,-2.74E-15,0,2.62E+00
2.20E-01,23,2,1,-1,"                    0x1",5.00E+01,-1.88E+00,1.56E-13,4.47E-11,1.66E-03,-5.54E-21,0,5.00E+01,1,1,-1,"                    0x1",2.62E+00,-1.88E+00,1.55E-11,4.47E-11,1.09E-03,-3.11E-15,0,2.62E+00,2,1,-1,"                    0x1",5.00E+01,-1.88E+00,1.56E-13,4.47E-11,1.66E-03,-5.54E-21,0,5.00E+01,1,1,-1,"                    0x1",2.62E+00,-1.88E+00,1.55E-11,4.47E-11,1.09E-03,-3.11E-15,0,2.62E+00
2.30E-01,24,2,1,-1,"                    0x1",5.00E+01,-1.88E+00,1.01E-13,4.47E-11,1.66E-03,-1.45E-20,0,5.00E+01,1,1,-1,"                    0x1",2.62E+00,-1.88E+00,1.55E-11,4.47E-11,1.09E-03,-3.50E-15,0,2.62E+00,2,1,-1,"                    0x1",5.00E+01,-1.88E+00,1.01E-13,4.47E-11,1.66E-03,-1.45E-20,0,5.00E+01,1,1,-1,"                    0x1",2.62E+00,-1.88E+00,1.55E-11,4.47E-11,1.09E-03,-3.50E-15,0,2.62E+00
2.40E-01,25,2,1,-1,"                    0x1",5.00E+01,-1.88E+00,7.99E-15,4.47E-11,1.66E-03,-2.00E-20,0,5.00E+01,1,1,-1,"                    0x1",2.62E+00,-1.88E+00,1.54E-11,4.47E-11,1.09E-03,-3.91E-15,0,2.62E+00,2,1,-1,"                    0x1",5.00E+01,-1.88E+00,7.99E-15,4.47E-11,1.66E-03,-2.00E-20,0,5.00E+01,1,1,-1,"                    0x1",2.62E+00,-1.88E+00,1.54E-11,4.47E-11,1.09E-03,-3.91E-15,0,2.62E+00
2.50E-01,26,2,1,-1,"                    0x1",5.00E+01,-1.88E+00,1.72E-13,4.47E-11,1.66E-03,-2.77E-20,0,5.00E+01,1,1,-1,"                    0x1",2.62E+00,-1.88E+00,1.54E-11,4.47E-11,1.09E-03,-4.34E-15,0,2.62E+00,2,1,-1,"                    0x1",5.00E+01,-1.88E+00,1.72E-13,4.47E-11,1.66E-03,-2.77E-20,0,5.00E+01,1,1,-1,"                    0x1",2.62E+00,-1.88E+00,1.54E-11,4.47E-11,1.09E-03,-4.34E-15,0,2.62E+00
2.60E-01,27,2,1,-1,"                    0x1",5.00E+01,-1.88E+00,2.55E-14,4.47E-11,1.66E-03,-1.47E-20,0,5.00E+01,1,1,-1,"                    0x1",2.62E+00,-1.88E+00,1.53E-11,4.47E-11,1.09E-03,-4.80E-15,0,2.62E+00,2,1,-1,"                    0x1",5.00E+01,-1.88E+00,2.55E-14,4.47E-11,1.66E-03,-1.47E-20,0,5.00E+01,1,1,-1,"                    0x1",2.62E+00,-1.88E+00,1.53E-11,4.47E-11,1.09E-03,-4.80E-15,0,2.62E+00
2.70E-01,28,2,1,-1,"                    0x1",5.00E+01,-1.88E+00,-1.48E-13,4.47E-11,1.66E-03,-2.70E-20,0,5.00E+01,1,1,-1,"                    0x1",2.63E+00,-1.88E+00,1.52E-11,4.47E-11,1.09E-03,-5.28E-15,0,2.63E+00,2,1,-1,"                    0x1",5.00E+01,-1.88E+00,-1.48E-13,4.47E-11,1.66E-03,-2.70E-20,0,5.00E+01,1,1,-1,"                    0x1",2.63E+00,-1.88E+00,1.52E-11,4.47E-11,1.09E-03,-5.28E-15,0,2.63E+00
2.80E-01,29,2,1,-1,"                    0x1",5.00E+01,-1.88E+00,-2.20E-14,4.47E-11,1.66E-03,-3.15E-20,0,5.00E+01,1,1,-1,"                    0x1",2.63E+00,-1.88E+00,1.52E-11,4.47E-11,1.09E-03,-5.78E-15,0,2.63E+00,2,1,-1,"                    0x1",5.00E+01,-1.88E+00,-2.20E-14,4.47E-11,1.66E-03,-3.15E-20,0,5.00E+01,1,1,-1,"                    0x1",2.63E+00,-1.88E+00,1.52E-11,4.47E-11,1.09E-03,-5.78E-15,0,2.63E+00
2.90E-01,30,2,1,-1,"                    0x1",5.00E+01,-1.88E+00,1.06E-13,4.47E-11,1.66E-03,-1.38E-20,0,5.00E+01,1,1,-1,"                    0x1",2.63E+00,-1.88E+00,1.51E-11,4.47E-11,1.09E-03,-6.31E-15,0,2.63E+00,2,1,-1,"                    0x1",5.00E+01,-1.88E+00,1.06E-13,4.47E-11,1.66E-03,-1.38E-20,0,5.00E+01,1,1,-1,"                    0x1",2.63E+00,-1.88E+00,1.51E-11,4.47E-11,1.09E-03,-6.31E-15,0,2.63E+00
3.00E-01,31,2,1,-1,"                    0x1",5.00E+01,-1.88E+00,1.33E-13,4.47E-11,1.66E-03,-2.26E-20,0,5.00E+01,1,1,-1,"                    0x1",2.63E+00,-1.88E+00,1.50E-11,4.47E-11,1.09E-03,-6.86E-15,0,2.63E+00,2,1,-1,"                    0x1",5.00E+01,-1.88E+00,1.33E-13,4.47E-11,1.66E-03,-2.26E-20,0,5.00E+01,1,1,-1,"                    0x1",2.63E+00,-1.88E+00,1.50E-11,4.47E-11,1.09E-03,-6.86E-15,0,2.63E+00
3.10E-01,32,2,1,-1,"                    0x1",5.00E+01,-1.88E+00,-7.37E-14,4.47E-11,1.66E-03,-3.48E-20,0,5.00E+01,1,1,-1,"                    0x1",2.63E+00,-1.88E+00,1.50E-11,4.47E-11,1.09E-03,-7.43E-15,0,2.63E+00,2,1,-1,"                    0x1",5.00E+01,-1.88E+00,-7.37E-14,4.47E-11,1.66E-03,-3.48E-20,0,5.00E+01,1,1,-1,"                    0x1",2.63E+00,-1.88E+00,1.50E-11,4.47E-11,1.09E-03,-7.43E-15,0,2.63E+00
3.20E-01,33,2,1,-1,"                    0x1",5.01E+01,-1.88E+00,1.35E-13,4.47E-11,1.66E-03,-4.53E-20,0,5.01E+01,1,1,-1,"                    0x1",2.63E+00,-1.88E+00,1.49E-11,4.47E-11,1.09E-03,-8.03E-15,0,2.63E+00,2,1,-1,"                    0x1",5.01E+01,-1.88E+00,1.35E-13,4.47E-11,1.66E-03,-4.53E-20,0,5.01E+01,1,1,-1,"                    0x1",2.63E+00,-1.88E+00,1.49E-11,4.47E-11,1.09E-03,-8.03E-15,0,2.63E+00
3.30E-01,34,2,1,-1,"                    0x1",5.01E+01,-1.88E+00,3.00E-14,4.47E-11,1.66E-03,-5.31E-20,0,5.01E+01,1,1,-1,"                    0x1",2.64E+00,-1.88E+00,1.48E-11,4.47E-11,1.09E-03,-8.65E-15,0,2.64E+00,2,1,-1,"                    0x1",5.01E+01,-1.88E+00,3.00E-14,4.47E-11,1.66E-03,-5.31E-20,0,5.01E+01,1,1,-1,"                    0x1",2.64E+00,-1.88E+00,1.48E-11,4.47E-11,1.09E-03,-8.65E-15,0,2.64E+00
3.40E-01,35,2,1,-1,"                    0x1",5.01E+01,-1.88E+00,-5.46E-14,4.47E-11,1.66E-03,-2.98E-20,0,5.01E+01,1,1,-1,"                    0x1",2.64E+00,-1.88E+00,1.47E-11,4.47E-11,1.09E-03,-9.29E-15,0,2.64E+00,2,1,-1,"                    0x1",5.01E+01,-1.88E+00,-5.46E-14,4.47E-11,1.66E-03,-2.98E-20,0,5.01E+01,1,1,-1,"                    0x1",2.64E+00,-1.88E+00,1.47E-11,4.47E-11,1.09E-03,-9.29E-15,0,2.64E+00
3.50E-01,36,2,1,-1,"                    0x1",5.01E+01,-1.88E+00,2.00E-15,4.47E-11,1.66E-03,-3.68E-20,0,5.01E+01,1,1,-1,"                    0x1",2.64E+00,-1.88E+00,1.47E-11,4.47E-11,1.09E-03,-9.96E-15,0,2.64E+00,2,1,-1,"                    0x1",5.01E+01,-1.88E+00,2.00E-15,4.47E-11,1.66E-03,-3.68E-20,0,5.01E+01,1,1,-1,"                    0x1",2.64E+00,-1.88E+00,1.47E-11,4.47E-11,1.09E-03,-9.96E-15,0,2.64E+00
3.60E-01,37,2,1,-1,"                    0x1",5.01E+01,-1.88E+00,1.69E-13,4.47E-11,1.66E-03,-4.76E-20,0,5.01E+01,1,1,-1,"                    0x1",2.64E+00,-1.88E+00,1.46E-11,4.47E-11,1.09E-03,-1.07E-14,0,2.64E+00,2,1,-1,"                    0x1",5.01E+01,-1.88E+00,1.69E-13,4.47E-11,1.66E-03,-4.76E-20,0,5.01E+01,1,1,-1,"                    0x1",2.64E+00,-1.88E+00,1.46E-11,4.47E-11,1.09E-03,-1.07E-14,0,2.64E+00
3.70E-01,38,2,1,-1,"                    0x1",5.01E+01,-1.88E+00,-1.25E-13,4.47E-11,1.66E-03,-5.92E-20,0,5.01E+01,1,1,-1,"                    0x1",2.64E+00,-1.88E+00,1.45E-11,4.47E-11,1.09E-03,-1.14E-14,0,2.64E+00,2,1,-1,"                    0x1",5.01E+01,-1.88E+00,-1.25E-13,4.47E-11,1.66E-03,-5.92E-20,0,5.01E+01,1,1,-1,"                    0x1",2.64E+00,-1.88E+00,1.45E-11,4.47E-11,1.09E-03,-1.14E-14,0,2.64E+00
3.80E-01,39,2,1,-1,"                    0x1",5.01E+01,-1.88E+00,2.86E-13,4.47E-11,1.66E-03,-7.60E-20,0,5.01E+01,1,1,-1,"                    0x1",2.65E+00,-1.88E+00,1.44E-11,4.47E-11,1.09E-03,-1.21E-14,0,2.65E+00,2,1,-1,"                    0x1",5.01E+01,-1.88E+00,2.86E-13,4.47E-11,1.66E-03,-7.60E-20,0,5.01E+01,1,1,-1,"                    0x1",2.65E+00,-1.88E+00,1.44E-11,4.47E-11,1.09E-03,-1.21E-14,0,2.65E+00
