                simTime,               simFrame,               playerId,                 roadId,                 laneId,                  flags,                  roadS,                  roadT,             laneOffset,                 hdgRel,               pitchRel,                rollRel,               roadType,                  pathS,               playerId,                 roadId,                 laneId,                  flags,                  roadS,                  roadT,             laneOffset,                 hdgRel,               pitchRel,                rollRel,               roadType,                  pathS,
+1.0999999754130840e-01,                     12,                      2,                      1,                     -1,                    0x1,+5.0006000518798828e+01,-1.8750000000000000e+00,-3.7747582837255322e-15,+3.9719338928989600e-11,+1.6624999698251486e-03,-8.7788116993723799e-22,                      0,+5.0006000518798828e+01,                      1,                      1,                     -1,                    0x1,+2.6191351413726807e+00,-2.0055880546569824e+00,-1.3058812916278839e-01,-2.8035880532115698e-03,+4.4951107702217996e-04,-4.3720574407823165e-19,                      0,+2.6191351413726807e+00,
+1.1999999731779099e-01,                     13,                      2,                      1,                     -1,                    0x1,+5.0007148742675781e+01,-1.8750000000000000e+00,-2.4868995751603507e-14,+3.9719338928989600e-11,+1.6624999698251486e-03,-3.3472529916650996e-21,                      0,+5.0007148742675781e+01,                      1,                      1,                     -1,                    0x1,+2.6191349029541016e+00,-2.0055880546569824e+00,-1.3058812916278839e-01,-2.8035880532115698e-03,+4.5291022979654372e-04,-6.6962436765396714e-19,                      0,+2.6191349029541016e+00,
+1.2999999709427357e-01,                     14,                      2,                      1,                     -1,                    0x1,+5.0008399963378906e+01,-1.8750000000000000e+00,+1.4677148385544569e-13,+3.9719338928989600e-11,+1.6624999698251486e-03,+3.3808081810779723e-22,                      0,+5.0008399963378906e+01,                      1,                      1,                     -1,                    0x1,+2.6191344261169434e+00,-2.0055880546569824e+00,-1.3058812916278839e-01,-2.8035880532115698e-03,+4.5649663661606610e-04,-9.5770909282843603e-19,                      0,+2.6191344261169434e+00,
+1.3999999687075615e-01,                     15,                      2,                      1,                     -1,                    0x1,+5.0009750366210938e+01,-1.8750000000000000e+00,+6.1062266354383610e-14,+3.9719338928989600e-11,+1.6624999698251486e-03,-2.0701133889161093e-22,                      0,+5.0009750366210938e+01,                      1,                      1,                     -1,                    0x1,+2.6191341876983643e+00,-2.0055880546569824e+00,-1.3058812916278839e-01,-2.8035880532115698e-03,+4.6029887744225562e-04,-1.0837545643765367e-18,                      0,+2.6191341876983643e+00,
+1.4999999664723873e-01,                     16,                      2,                      1,                     -1,                    0x1,+5.0011199951171875e+01,-1.8750000000000000e+00,+1.3811174426336947e-13,+3.9719338928989600e-11,+1.6624999698251486e-03,-5.7419554052903197e-21,                      0,+5.0011199951171875e+01,                      1,                      1,                     -1,                    0x1,+2.6191339492797852e+00,-2.0055880546569824e+00,-1.3058812916278839e-01,-2.8035880532115698e-03,+4.6433295938186347e-04,-9.7814076415122552e-19,                      0,+2.6191339492797852e+00,
+1.5999999642372131e-01,                     17,                      2,                      1,                     -1,                    0x1,+5.0012748718261719e+01,-1.8750000000000000e+00,-1.5076828674409626e-13,+3.9719338928989600e-11,+1.6624999698251486e-03,-3.2842465070820291e-21,                      0,+5.0012748718261719e+01,                      1,                      1,                     -1,                    0x1,+2.6191337108612061e+00,-2.0055880546569824e+00,-1.3058812916278839e-01,-2.8035880532115698e-03,+4.6859358553774655e-04,-6.9107403981686798e-19,                      0,+2.6191337108612061e+00,
+1.6999999620020390e-01,                     18,                      2,                      1,                     -1,                    0x1,+5.0014400482177734e+01,-1.8750000000000000e+00,-9.3924867883288243e-14,+3.9719338928989600e-11,+1.6624999698251486e-03,-6.2975150270608651e-21,                      0,+5.0014400482177734e+01,                      1,                      1,                     -1,                    0x1,+2.6191334724426270e+00,-2.0055880546569824e+00,-1.3058812916278839e-01,-2.8035880532115698e-03,+4.7305473708547652e-04,-4.2555118283766576e-19,                      0,+2.6191334724426270e+00,
+1.7999999597668648e-01,                     19,                      2,                      1,                     -1,                    0x1,+5.0016151428222656e+01,-1.8750000000000000e+00,-1.5765166949677223e-13,+3.9719338928989600e-11,+1.6624999698251486e-03,+5.8997657545805603e-22,                      0,+5.0016151428222656e+01,                      1,                      1,                     -1,                    0x1,+2.6191334724426270e+00,-2.0055880546569824e+00,-1.3058812916278839e-01,-2.8035880532115698e-03,+4.7767750220373273e-04,-3.0576229864776308e-19,                      0,+2.6191334724426270e+00,
+1.8999999575316906e-01,                     20,                      2,                      1,                     -1,                    0x1,+5.0018001556396484e+01,-1.8750000000000000e+00,-2.4824586830618500e-13,+3.9719338928989600e-11,+1.6624999698251486e-03,+1.3559078563845132e-21,                      0,+5.0018001556396484e+01,                      1,                      1,                     -1,                    0x1,+2.6191332340240479e+00,-2.0055880546569824e+00,-1.3058812916278839e-01,-2.8035880532115698e-03,+4.8242104821838439e-04,-3.5978184553842140e-19,                      0,+2.6191332340240479e+00,
+1.9999999552965164e-01,                     21,                      2,                      1,                     -1,                    0x1,+5.0019950866699219e+01,-1.8750000000000000e+00,-2.0383694732117874e-13,+3.9719338928989600e-11,+1.6624999698251486e-03,-5.2691259616785813e-21,                      0,+5.0019950866699219e+01,                      1,                      1,                     -1,                    0x1,+2.6191332340240479e+00,-2.0055880546569824e+00,-1.3058812916278839e-01,-2.8035880532115698e-03,+4.8725176020525396e-04,-4.7703505925933106e-19,                      0,+2.6191332340240479e+00,
