simFrame,playerId.0,lightMask.0,steering.0,playerId.1,lightMask.1,steering.1,playerId.2,lightMask.2,steering.2,playerId.3,lightMask.3,steering.3,playerId.4,lightMask.4,steering.4,playerId.5,lightMask.5,steering.5,playerId.6,lightMask.6,steering.6,playerId.7,lightMask.7,steering.7,playerId.8,lightMask.8,steering.8,playerId.9,lightMask.9,steering.9
1468,1,0,0.0,2,                  0x400,0.0006567915552295744,3,                  0x400,0.00013576274795923382,4.0,                  0x400,0.00012811433407478034,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
1469,1,0,0.0,2,                  0x400,0.0006544769275933504,3,                  0x400,0.00013697767280973494,4.0,                  0x400,0.00012836891983170062,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
1470,1,0,0.0,2,                  0x400,0.0006518642185255885,3,                  0x400,0.00013819268497172743,4.0,                  0x400,0.0001286235055886209,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
1471,1,0,0.0,2,                  0x400,0.0006489704828709364,3,                  0x400,0.00013940776989329606,4.0,                  0x400,0.0001288781058974564,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
1472,1,0,0.0,2,                  0x400,0.0006458117859438062,3,                  0x400,0.0001406229421263561,4.0,                  0x400,0.00012913269165437669,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
1473,1,0,0.0,2,                  0x400,0.0006424037273973227,3,                  0x400,0.0001418381871189922,4.0,                  0x400,0.00012938727741129694,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
1474,1,0,0.0,2,                  0x400,0.0006387612666003406,3,                  0x400,0.00014305351942311972,4.0,                  0x400,0.00012964186316821724,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
1475,1,0,0.0,2,                  0x400,0.0006348986644297839,3,                  0x400,0.00014426892448682338,4.0,                  0x400,0.00012989646347705275,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
1476,1,0,0.0,2,                  0x400,0.0006308297161012888,3,                  0x400,0.0001454844168620184,4.0,                  0x400,0.00013015104923397305,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
1477,1,0,0.0,2,                  0x400,0.0006265674601309001,3,                  0x400,0.00014669998199678955,4.0,                  0x400,0.0001304056349908933,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
1478,1,0,0.0,2,                  0x400,0.000622124527581036,3,                  0x400,0.0001479156344430521,4.0,                  0x400,0.00013066022074781358,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
1479,1,0,0.0,2,                  0x400,0.0006175129674375056,3,                  0x400,0.0001491313596488908,4.0,                  0x400,0.00013091482105664906,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
1480,1,0,0.0,2,                  0x400,0.0006127444212324917,3,                  0x400,0.00015034717216622084,4.0,                  0x400,0.00013116940681356937,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
1481,1,0,0.0,2,                  0x400,0.0006078298902139069,3,                  0x400,0.00015156304289121178,4.0,                  0x400,0.00013142399257048965,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
1482,1,0,0.0,2,                  0x400,0.0006027799099683762,3,                  0x400,0.00015277901547960934,4.0,                  0x400,0.00013167859287932518,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
1483,1,0,0.0,2,                  0x400,0.0005976047250442207,3,                  0x400,0.00015399504627566785,4.0,                  0x400,0.00013193317863624543,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
