                simTime,               simFrame,               playerId,              lightMask,               steering,    steeringWheelTorque,               playerId,              lightMask,               steering,    steeringWheelTorque,               playerId,              lightMask,               steering,    steeringWheelTorque,               playerId,              lightMask,               steering,    steeringWheelTorque,               playerId,              lightMask,               steering,    steeringWheelTorque,
+2.0619999539107084e+01,                   2063,                      1,                   0x40,+0.0000000000000000e+00,+0.0000000000000000e+00,                      2,                  0x400,-5.9067334357010282e-16,+0.0000000000000000e+00,                      3,                  0x400,-2.1337098754514727e-16,+0.0000000000000000e+00,                      4,                  0x400,+0.0000000000000000e+00,+0.0000000000000000e+00,                      5,                  0x400,+1.3175224800043850e-15,+0.0000000000000000e+00,
+2.0629999538883567e+01,                   2064,                      1,                   0x40,+0.0000000000000000e+00,+0.0000000000000000e+00,                      2,                  0x400,-1.3617579286417936e-16,+0.0000000000000000e+00,                      3,                  0x400,-2.0990154059319366e-16,+0.0000000000000000e+00,                      4,                  0x400,+0.0000000000000000e+00,+0.0000000000000000e+00,                      5,                  0x400,+1.5855372570428017e-15,+0.0000000000000000e+00,
+2.0639999538660049e+01,                   2065,                      1,                   0x40,+0.0000000000000000e+00,+0.0000000000000000e+00,                      2,                  0x400,-1.4137996329210978e-16,+0.0000000000000000e+00,                      3,                  0x400,+5.2648857495896095e-16,+0.0000000000000000e+00,                      4,                  0x400,+0.0000000000000000e+00,+0.0000000000000000e+00,                      5,                  0x400,+1.1249681741709594e-15,+0.0000000000000000e+00,
+2.0649999538436532e+01,                   2066,                      1,                   0x40,+0.0000000000000000e+00,+0.0000000000000000e+00,                      2,                  0x400,+1.6479873021779667e-16,+0.0000000000000000e+00,                      3,                  0x400,-7.5460471204991109e-17,+0.0000000000000000e+00,                      4,                  0x400,+0.0000000000000000e+00,+0.0000000000000000e+00,                      5,                  0x400,+1.5439038936193583e-15,+0.0000000000000000e+00,
+2.0659999538213015e+01,                   2067,                      1,                   0x40,+0.0000000000000000e+00,+0.0000000000000000e+00,                      2,                  0x400,+6.0715321659188248e-18,+0.0000000000000000e+00,                      3,                  0x400,-2.1423834928313568e-16,+0.0000000000000000e+00,                      4,                  0x400,+0.0000000000000000e+00,+0.0000000000000000e+00,                      5,                  0x400,+1.0842021724855044e-15,+0.0000000000000000e+00,
+2.0669999537989497e+01,                   2068,                      1,                   0x40,+0.0000000000000000e+00,+0.0000000000000000e+00,                      2,                  0x400,+3.0270924655795284e-16,+0.0000000000000000e+00,                      3,                  0x400,-2.1076890233118206e-16,+0.0000000000000000e+00,                      4,                  0x400,+0.0000000000000000e+00,+0.0000000000000000e+00,                      5,                  0x400,+1.3556863964758747e-15,+0.0000000000000000e+00,
+2.0679999537765980e+01,                   2069,                      1,                   0x40,+0.0000000000000000e+00,+0.0000000000000000e+00,                      2,                  0x400,+8.6736173798840355e-19,+0.0000000000000000e+00,                      3,                  0x400,+3.8510861166685117e-16,+0.0000000000000000e+00,                      4,                  0x400,+0.0000000000000000e+00,+0.0000000000000000e+00,                      5,                  0x400,+1.4909948276020657e-15,+0.0000000000000000e+00,
+2.0689999537542462e+01,                   2070,                      1,                   0x40,+0.0000000000000000e+00,+0.0000000000000000e+00,                      2,                  0x400,-2.9490299091605721e-16,+0.0000000000000000e+00,                      3,                  0x400,-7.3725747729014302e-17,+0.0000000000000000e+00,                      4,                  0x400,+0.0000000000000000e+00,+0.0000000000000000e+00,                      5,                  0x400,+1.1726730697603216e-15,+0.0000000000000000e+00,
+2.0699999537318945e+01,                   2071,                      1,                   0x40,+0.0000000000000000e+00,+0.0000000000000000e+00,                      2,                  0x400,+1.3877787807814457e-17,+0.0000000000000000e+00,                      3,                  0x400,-2.1250362580715887e-16,+0.0000000000000000e+00,                      4,                  0x400,+0.0000000000000000e+00,+0.0000000000000000e+00,                      5,                  0x400,+1.4502288259166107e-15,+0.0000000000000000e+00,
+2.0709999537095428e+01,                   2072,                      1,                   0x40,+0.0000000000000000e+00,+0.0000000000000000e+00,                      2,                  0x400,+4.5796699765787707e-16,+0.0000000000000000e+00,                      3,                  0x400,-2.0903417885520525e-16,+0.0000000000000000e+00,                      4,                  0x400,+0.0000000000000000e+00,+0.0000000000000000e+00,                      5,                  0x400,+1.1319070680748666e-15,+0.0000000000000000e+00,
