                simTime,               simFrame,               playerId,                 roadId,                 laneId,                  flags,                  roadS,                  roadT,             laneOffset,                 hdgRel,               pitchRel,                rollRel,               roadType,                  pathS,               playerId,                 roadId,                 laneId,                  flags,                  roadS,                  roadT,             laneOffset,                 hdgRel,               pitchRel,                rollRel,               roadType,                  pathS,
+1.8749999580904841e+01,                   1876,                      2,                      1,                     -1,                    0x1,+1.8503085327148438e+02,-1.8750000000000000e+00,+9.4391161553630809e-13,+3.9719338928989600e-11,-0.0000000000000000e+00,+4.2901697654644404e-18,                      0,+1.8503085327148438e+02,                      1,                      1,                     -1,                    0x1,+1.1215589141845703e+02,-1.8637700080871582e+00,+1.1229993775486946e-02,-8.1755680730566382e-04,+1.3462107162922621e-03,-1.4046205251361243e-05,                      0,+1.1215589141845703e+02,
+1.8759999580681324e+01,                   1877,                      2,                      1,                     -1,                    0x1,+1.8512806701660156e+02,-1.8750000000000000e+00,+4.9649173661237000e-13,+3.9719338928989600e-11,-0.0000000000000000e+00,-7.4362941498476150e-18,                      0,+1.8512806701660156e+02,                      1,                      1,                     -1,                    0x1,+1.1224568176269531e+02,-1.8636920452117920e+00,+1.1308006010949612e-02,-8.1979011883959174e-04,+1.3128577265888453e-03,-1.4483356608252507e-05,                      0,+1.1224568176269531e+02,
+1.8769999580457807e+01,                   1878,                      2,                      1,                     -1,                    0x1,+1.8522529602050781e+02,-1.8750000000000000e+00,-2.6985080836539055e-12,+3.9719338928989600e-11,-0.0000000000000000e+00,+1.3442531986933954e-17,                      0,+1.8522529602050781e+02,                      1,                      1,                     -1,                    0x1,+1.1233551025390625e+02,-1.8636147975921631e+00,+1.1385223828256130e-02,-8.2168442895635962e-04,+1.2802864657714963e-03,-1.3663153367815539e-05,                      0,+1.1233551025390625e+02,
+1.8779999580234289e+01,                   1879,                      2,                      1,                     -1,                    0x1,+1.8532252502441406e+02,-1.8750000000000000e+00,-8.0402351443353837e-13,+3.9719338928989600e-11,-0.0000000000000000e+00,-1.6088136827286805e-17,                      0,+1.8532252502441406e+02,                      1,                      1,                     -1,                    0x1,+1.1242536926269531e+02,-1.8635375499725342e+00,+1.1462473310530186e-02,-8.2324811955913901e-04,+1.2488639913499355e-03,-1.3230432159616612e-05,                      0,+1.1242536926269531e+02,
+1.8789999580010772e+01,                   1880,                      2,                      1,                     -1,                    0x1,+1.8541973876953125e+02,-1.8750000000000000e+00,-1.8283152769527078e-12,+3.9719338928989600e-11,-0.0000000000000000e+00,+1.8018713511259017e-17,                      0,+1.8541973876953125e+02,                      1,                      1,                     -1,                    0x1,+1.1251527404785156e+02,-1.8634594678878784e+00,+1.1540479958057404e-02,-8.2477129762992263e-04,+1.2189766857773066e-03,-1.4026669305167161e-05,                      0,+1.1251527404785156e+02,
+1.8799999579787254e+01,                   1881,                      2,                      1,                     -1,                    0x1,+1.8551696777343750e+02,-1.8750000000000000e+00,-5.2782223036729192e-12,+3.9719338928989600e-11,-0.0000000000000000e+00,-5.0767006547650809e-18,                      0,+1.8551696777343750e+02,                      1,                      1,                     -1,                    0x1,+1.1260521697998047e+02,-1.8633812665939331e+00,+1.1618709191679955e-02,-8.2650914555415511e-04,+1.1910643661394715e-03,-1.4450709386437666e-05,                      0,+1.1260521697998047e+02,
+1.8809999579563737e+01,                   1882,                      2,                      1,                     -1,                    0x1,+1.8561418151855469e+02,-1.8750000000000000e+00,+1.9404478024398486e-12,+3.9719338928989600e-11,-0.0000000000000000e+00,-4.9336951889250758e-18,                      0,+1.8561418151855469e+02,                      1,                      1,                     -1,                    0x1,+1.1269519042968750e+02,-1.8633033037185669e+00,+1.1696717701852322e-02,-8.2845211727544665e-04,+1.1655534617602825e-03,-1.3624739949591458e-05,                      0,+1.1269519042968750e+02,
+1.8819999579340219e+01,                   1883,                      2,                      1,                     -1,                    0x1,+1.8571141052246094e+02,-1.8750000000000000e+00,-1.4142020887675244e-12,+3.9719338928989600e-11,-0.0000000000000000e+00,+1.0796927146581103e-17,                      0,+1.8571141052246094e+02,                      1,                      1,                     -1,                    0x1,+1.1278520965576172e+02,-1.8632247447967529e+00,+1.1775232851505280e-02,-8.3051313413307071e-04,+1.1427938006818295e-03,-1.3152778592484538e-05,                      0,+1.1278520965576172e+02,
+1.8829999579116702e+01,                   1884,                      2,                      1,                     -1,                    0x1,+1.8580862426757812e+02,-1.8750000000000000e+00,+4.3276493499888602e-13,+3.9719338928989600e-11,-0.0000000000000000e+00,-5.0051980252426549e-19,                      0,+1.8580862426757812e+02,                      1,                      1,                     -1,                    0x1,+1.1287527465820312e+02,-1.8631454706192017e+00,+1.1854568496346474e-02,-8.3254178753122687e-04,+1.1230292730033398e-03,-1.3951333130535204e-05,                      0,+1.1287527465820312e+02,
+1.8839999578893185e+01,                   1885,                      2,                      1,                     -1,                    0x1,+1.8590585327148438e+02,-1.8750000000000000e+00,+1.0864642518981782e-12,+3.9719338928989600e-11,-0.0000000000000000e+00,-5.0051980252426549e-19,                      0,+1.8590585327148438e+02,                      1,                      1,                     -1,                    0x1,+1.1296537780761719e+02,-1.8630660772323608e+00,+1.1933943256735802e-02,-8.3455437561497092e-04,+1.1065246071666479e-03,-1.4444094631471671e-05,                      0,+1.1296537780761719e+02,
