                simTime,               simFrame,               playerId,              lightMask,               steering,    steeringWheelTorque,               playerId,              lightMask,               steering,    steeringWheelTorque,               playerId,              lightMask,               steering,    steeringWheelTorque,               playerId,              lightMask,               steering,    steeringWheelTorque,
+1.2999999709427357e-01,                     14,                      2,                  0x400,+1.6575073823332787e-04,+0.0000000000000000e+00,                      3,                  0x400,+6.4712570747360587e-05,+0.0000000000000000e+00,                      4,                  0x400,+4.8814603360369802e-05,+0.0000000000000000e+00,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,
+1.3999999687075615e-01,                     15,                      2,                  0x400,+1.6562764358241111e-04,+0.0000000000000000e+00,                      3,                  0x400,+6.4590953115839511e-05,+0.0000000000000000e+00,                      4,                  0x400,+4.8777339543448761e-05,+0.0000000000000000e+00,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,
+1.4999999664723873e-01,                     16,                      2,                  0x400,+1.6549546853639185e-04,+0.0000000000000000e+00,                      3,                  0x400,+6.4460677094757557e-05,+0.0000000000000000e+00,                      4,                  0x400,+4.8737343604443595e-05,+0.0000000000000000e+00,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,
+1.5999999642372131e-01,                     17,                      2,                  0x400,+1.6535424219910055e-04,+0.0000000000000000e+00,                      3,                  0x400,+6.4321822719648480e-05,+0.0000000000000000e+00,                      4,                  0x400,+4.8694622819311917e-05,+0.0000000000000000e+00,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,
+1.6999999620020390e-01,                     18,                      2,                  0x400,+1.6520397912245244e-04,+0.0000000000000000e+00,                      3,                  0x400,+6.4174470026046038e-05,+0.0000000000000000e+00,                      4,                  0x400,+4.8649188101990148e-05,+0.0000000000000000e+00,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,
+1.7999999597668648e-01,                     19,                      2,                  0x400,+1.6504475206602365e-04,+0.0000000000000000e+00,                      3,                  0x400,+6.4018706325441599e-05,+0.0000000000000000e+00,                      4,                  0x400,+4.8601050366414711e-05,+0.0000000000000000e+00,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,
+1.8999999575316906e-01,                     20,                      2,                  0x400,+1.6487656102981418e-04,+0.0000000000000000e+00,                      3,                  0x400,+6.3854633481241763e-05,+0.0000000000000000e+00,                      4,                  0x400,+4.8550216888543218e-05,+0.0000000000000000e+00,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,
+1.9999999552965164e-01,                     21,                      2,                  0x400,+1.6469944966956973e-04,+0.0000000000000000e+00,                      3,                  0x400,+6.3682353356853127e-05,+0.0000000000000000e+00,                      4,                  0x400,+4.8496702220290899e-05,+0.0000000000000000e+00,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,
+2.0999999530613422e-01,                     22,                      2,                  0x400,+1.6451346164103597e-04,+0.0000000000000000e+00,                      3,                  0x400,+6.3501967815682292e-05,+0.0000000000000000e+00,                      4,                  0x400,+4.8440520913572982e-05,+0.0000000000000000e+00,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,
+2.1999999508261681e-01,                     23,                      2,                  0x400,+1.6431864059995860e-04,+0.0000000000000000e+00,                      3,                  0x400,+6.3313578721135855e-05,+0.0000000000000000e+00,                      4,                  0x400,+4.8381683882325888e-05,+0.0000000000000000e+00,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,
