                simTime,               simFrame,               playerId,              lightMask,               steering,    steeringWheelTorque,               playerId,              lightMask,               steering,    steeringWheelTorque,               playerId,              lightMask,               steering,    steeringWheelTorque,
+2.0999999530613422e-01,                     22,                      2,                  0x400,+9.3575894425157458e-05,+0.0000000000000000e+00,                      3,                  0x400,+1.7499010937171988e-05,+0.0000000000000000e+00,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,
+2.1999999508261681e-01,                     23,                      2,                  0x400,+9.3463699158746749e-05,+0.0000000000000000e+00,                      3,                  0x400,+1.7477714209235273e-05,+0.0000000000000000e+00,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,
+2.2999999485909939e-01,                     24,                      2,                  0x400,+9.3346461653709412e-05,+0.0000000000000000e+00,                      3,                  0x400,+1.7455458873882890e-05,+0.0000000000000000e+00,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,
+2.3999999463558197e-01,                     25,                      2,                  0x400,+9.3224196461960673e-05,+0.0000000000000000e+00,                      3,                  0x400,+1.7432248569093645e-05,+0.0000000000000000e+00,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,
+2.4999999441206455e-01,                     26,                      2,                  0x400,+9.3096939963288605e-05,+0.0000000000000000e+00,                      3,                  0x400,+1.7408090570825152e-05,+0.0000000000000000e+00,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,
+2.5999999418854713e-01,                     27,                      2,                  0x400,+9.2964713985566050e-05,+0.0000000000000000e+00,                      3,                  0x400,+1.7382990336045623e-05,+0.0000000000000000e+00,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,
+2.6999999396502972e-01,                     28,                      2,                  0x400,+9.2827547632623464e-05,+0.0000000000000000e+00,                      3,                  0x400,+1.7356951502733864e-05,+0.0000000000000000e+00,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,
+2.7999999374151230e-01,                     29,                      2,                  0x400,+9.2685484560206532e-05,+0.0000000000000000e+00,                      3,                  0x400,+1.7329983165836893e-05,+0.0000000000000000e+00,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,
+2.8999999351799488e-01,                     30,                      2,                  0x400,+9.2538539320230484e-05,+0.0000000000000000e+00,                      3,                  0x400,+1.7302088963333517e-05,+0.0000000000000000e+00,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,
+2.9999999329447746e-01,                     31,                      2,                  0x400,+9.2386755568441004e-05,+0.0000000000000000e+00,                      3,                  0x400,+1.7273276171181351e-05,+0.0000000000000000e+00,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,
